10.55	100.00	1055.00	68.58	126.6	996.98
15.82	15.00	237.30	14.24	11.87	239.67
9.99	45.00	449.55	29.22	35.96	442.81
7.99	32.00	255.68	17.9	20.45	253.12
7.99	60.00	479.40	33.56	57.53	455.43
25.75	5.00	128.75	9.01	1.29	136.47
12.55	10.00	125.50	8.16	3.76	129.89
12.55	8.00	100.40	6.53	3.01	103.91
6.92	150.00	1038.00	62.28	124.56	975.72
13.63	50.00	681.50	47.71	54.52	674.69
22.85	20.00	457.00	29.71	22.85	463.85
37.19	32.00	1190.08	83.31	95.21	1178.18
62.82	40.00	2512.80	150.77	201.02	2462.54
15.99	80.00	1279.20	76.75	153.5	1202.45
30.02	72.00	2161.44	140.49	259.37	2042.56
16.14	65.00	1049.10	68.19	125.89	991.4
18.45	3.00	55.35	3.32	0.55	58.12
2.96	200.00	592.00	35.52	71.04	556.48
85.92	10.00	859.20	60.14	25.78	893.57
